เพศ,ช่วงอายุ,สถานภาพ,ท่านใช้สมาร์ทโฟนในการทำอะไรมากที่สุด,ท่านใช้สมาร์ทโฟนนานเท่าใดในหนึ่งวัน,สมาร์ทโฟนสำคัญในชีวิตประจำวันอย่างไร,ปัจจุบันท่านใช้สมาร์ทโฟนรุ่นใด
ชาย,18-25,นักเรียน / นักศึกษา,เล่นโซเชียล facebook intragram X etc.,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple
หญิง,26-32,บุคคลทั่วไป,ถ่ายรูป,มากกว่า 5 ชั่วโมง,สำคัญมาก,Apple
Lgbtq+,33-40,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,3 - 5 ชั่วโมง,ปานกลาง,Samsung
หญิง,26-32,บุคคลทั่วไป,ฟังเพลง,3 - 5 ชั่วโมง,สำคัญมาก,Samsung
ชาย,26-32,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,0 - 1 ชั่วโมง,ปานกลาง,Oppo
ชาย,41-50,อาจารย์,คุยธุรกิจ / ทำงาน,3 - 5 ชั่วโมง,ปานกลาง,Oppo
หญิง,18-25,นักเรียน / นักศึกษา,เล่นโซเชียล facebook intragram X etc.,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple
ชาย,18-25,นักเรียน / นักศึกษา,เล่นโซเชียล facebook intragram X etc.,มากกว่า 5 ชั่วโมง,สำคัญมาก,Apple
หญิง,18-25,นักเรียน / นักศึกษา,เล่นเกม,3 - 5 ชั่วโมง,สำคัญมากที่สุด,Apple
lgbtq+,18-25,นักเรียน / นักศึกษา,Tiktok,มากกว่า 5 ชั่วโมง,สำคัญมาก,Apple
ชาย,26-32,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,1 - 3 ชั่วโมง,สำคัญมากที่สุด,Apple
หญิง,33-40,อาจารย์,คุยธุรกิจ / ทำงาน,มากกว่า 5 ชั่วโมง,สำคัญมาก,Samsung
ชาย,33-40,อาจารย์,คุยธุรกิจ / ทำงาน,1 - 3 ชั่วโมง,ปานกลาง,Samsung
ชาย,26-32,บุคคลทั่วไป,ฟังเพลง,3 - 5 ชั่วโมง,สำคัญน้อย,Samsung
หญิง,26-32,บุคคลทั่วไป,เล่นโซเชียล facebook intragram X etc.,1 - 3 ชั่วโมง,สำคัญน้อย,Huawei
ชาย,18-25,นักเรียน / นักศึกษา,เล่นโซเชียล facebook intragram X etc.,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple
ชาย,41-50,บุคคลทั่วไป,ฟังข่าวออนไลน์,3 - 5 ชั่วโมง,สำคัญน้อย,Huawei
หญิง,18-25,นักเรียน / นักศึกษา,เล่นโซเชียล facebook intragram X etc.,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple
หญิง,18-25,นักเรียน / นักศึกษา,ถ่ายรูป,มากกว่า 5 ชั่วโมง,ปานกลาง,Apple
ชาย,18-25,นักเรียน / นักศึกษา,เล่นเกม,มากกว่า 5 ชั่วโมง,สำคัญมาก,Apple